offset,metric,estimate,ci_low,ci_high,questions,trajectories
-2,sufficiency_likelihood,0.7031612141070624,0.6212642001677683,0.7798123904049707,57,134
-2,native_margin,1.5542763074461627,0.7989720276869392,2.282419588409368,57,134
-2,answer_accuracy,0.035672514619883036,0.0029239766081871348,0.07953216374269005,57,134
-1,sufficiency_likelihood,0.8870652202617471,0.8414394154277538,0.9214589398070124,57,134
-1,native_margin,2.619152040223861,2.272656241907969,2.9093612820118797,57,134
-1,answer_accuracy,0.028070175438596492,0.0023391812865497076,0.06432748538011697,57,134
0,sufficiency_likelihood,0.9803120441998883,0.957906955056253,0.996056467147171,57,134
0,native_margin,6.540935649859459,6.0370659693017386,6.97059570917649,57,134
0,answer_accuracy,0.8783625730994152,0.8093567251461989,0.936842105263158,57,134
1,sufficiency_likelihood,0.9041085359164417,0.8010121288533358,0.9763445606006613,17,25
1,native_margin,3.9509804078460387,2.8405943429646365,4.954687512419418,17,25
1,answer_accuracy,0.896078431372549,0.7999999999999999,0.9764705882352942,17,25
2,sufficiency_likelihood,0.8939858991690536,0.732062811595933,0.9902119162768948,13,18
2,native_margin,4.277243568772974,2.800480759988512,5.644290828762552,13,18
2,answer_accuracy,0.8871794871794871,0.717948717948718,0.9897435897435898,13,18
