sample,comparison,metric,estimate,low,high,questions,bootstrap_success
conflicted,all_additions,likelihood,0.3400392570906528,0.31395725112209416,0.36662940145547074,36,
conflicted,all_additions,margin,4.241247102823225,3.814904329626663,4.716184709702417,36,
conflicted,all_additions,official_score,0.3449652777777778,0.3168981481481482,0.37367910879629623,36,
conflicted,all_additions,token_change,-0.5532407407407408,-0.898148148148148,-0.22916666666666666,36,
conflicted,last_missing_hop,likelihood,0.12335596171198684,0.090428439287781,0.16212960535469192,36,
conflicted,last_missing_hop,margin,6.286385985774491,5.753830386021005,6.8219166012074695,36,
conflicted,last_missing_hop,official_score,0.3018518518518519,0.23517939814814814,0.37223379629629627,36,
conflicted,last_missing_hop,token_change,-0.5532407407407408,-0.898148148148148,-0.22916666666666666,36,
conflicted,question_FE_length_adjusted,r,0.9970057319347283,0.9172890153401676,1.0586636474274456,36,2000.0
conflicted,question_FE_length_adjusted,input_tokens,0.01052003072136454,2.4873654375746095e-05,0.022796769122029475,36,2000.0
