sample,hops,r,metric,mean,low,high,questions
all,2,0.0,likelihood,0.05145023109857591,0.021393791333617358,0.08989528849407817,57
all,2,0.0,official_score,0.0,0.0,0.0,57
all,2,0.0,exact_match,0.0,0.0,0.0,57
all,2,0.5,likelihood,0.6743711576211955,0.6302745202774174,0.7179326957359772,57
all,2,0.5,official_score,0.41052631578947374,0.3596491228070176,0.4596491228070175,57
all,2,0.5,exact_match,0.4070175438596491,0.35438596491228075,0.45701754385964916,57
all,2,1.0,likelihood,0.9981782768778653,0.995794710215626,0.9994456113910374,57
all,2,1.0,official_score,0.9842105263157895,0.9543859649122808,1.0,57
all,2,1.0,exact_match,0.9631578947368422,0.9157894736842106,0.9947807017543858,57
all,3,0.0,likelihood,0.017261954573886344,0.004789569394756414,0.03979391122881484,19
all,3,0.0,official_score,0.0,0.0,0.0,19
all,3,0.0,exact_match,0.0,0.0,0.0,19
all,3,0.3333333333333333,likelihood,0.34624317851033787,0.2896497484183121,0.4067665132143811,19
all,3,0.3333333333333333,official_score,0.287719298245614,0.22631578947368425,0.343859649122807,19
all,3,0.3333333333333333,exact_match,0.2824561403508772,0.22280701754385965,0.33688596491228046,19
all,3,0.6666666666666666,likelihood,0.8440244193808857,0.7931138704596592,0.8909819583856021,19
all,3,0.6666666666666666,official_score,0.6210526315789472,0.563157894736842,0.6649122807017542,19
all,3,0.6666666666666666,exact_match,0.6210526315789472,0.563157894736842,0.6649122807017542,19
all,3,1.0,likelihood,0.9974164841824739,0.9933558740431179,0.9997518671884806,19
all,3,1.0,official_score,0.9894736842105264,0.9736842105263158,1.0,19
all,3,1.0,exact_match,0.9894736842105264,0.9736842105263158,1.0,19
all,4,0.0,likelihood,0.013582537698633046,0.009968943028036385,0.017323535471395205,24
all,4,0.0,official_score,0.0,0.0,0.0,24
all,4,0.0,exact_match,0.0,0.0,0.0,24
all,4,0.25,likelihood,0.26817137265239105,0.2351101107309411,0.3043195598183863,24
all,4,0.25,official_score,0.23958333333333334,0.19375,0.2895833333333333,24
all,4,0.25,exact_match,0.23750000000000002,0.19270833333333334,0.2864583333333333,24
all,4,0.5,likelihood,0.6531965175598131,0.6200382046157377,0.6908436861622997,24
all,4,0.5,official_score,0.5722222222222223,0.5145659722222222,0.6291666666666668,24
all,4,0.5,exact_match,0.5694444444444445,0.5117881944444445,0.6271006944444444,24
all,4,0.75,likelihood,0.9373931642296047,0.9260073337888458,0.9492790774007873,24
all,4,0.75,official_score,0.8229166666666666,0.7833333333333332,0.8614843749999999,24
all,4,0.75,exact_match,0.8229166666666666,0.7833333333333332,0.8614843749999999,24
all,4,1.0,likelihood,0.9996379792715625,0.9994595915452472,0.9997845283317368,24
all,4,1.0,official_score,1.0,1.0,1.0,24
all,4,1.0,exact_match,0.9958333333333332,0.9874999999999999,1.0,24
