sample,hops,r,metric,mean,low,high,questions
conflicted,2,0.0,likelihood,0.19455481915954512,0.030047721398711338,0.39103546950702667,8
conflicted,2,0.0,official_score,0.0,0.0,0.0,8
conflicted,2,0.0,exact_match,0.0,0.0,0.0,8
conflicted,2,0.5,likelihood,0.7740809095501764,0.6786962854053111,0.8694641821058348,8
conflicted,2,0.5,official_score,0.47500000000000003,0.33734375000000005,0.6312500000000001,8
conflicted,2,0.5,exact_match,0.45625,0.29359375000000004,0.625,8
conflicted,2,1.0,likelihood,0.9996684578937388,0.9994467765082967,0.9998609461451324,8
conflicted,2,1.0,official_score,1.0,1.0,1.0,8
conflicted,2,1.0,exact_match,0.8625,0.6125,1.0,8
conflicted,3,0.0,likelihood,0.022795002111291898,0.004094337992388894,0.05795989488360539,12
conflicted,3,0.0,official_score,0.0,0.0,0.0,12
conflicted,3,0.0,exact_match,0.0,0.0,0.0,12
conflicted,3,0.3333333333333333,likelihood,0.37139515656273586,0.28669314004543556,0.45854771273874595,12
conflicted,3,0.3333333333333333,official_score,0.28611111111111115,0.20826388888888886,0.36944444444444446,12
conflicted,3,0.3333333333333333,exact_match,0.27777777777777785,0.20277777777777775,0.35833333333333334,12
conflicted,3,0.6666666666666666,likelihood,0.862664498405708,0.7898501829611628,0.9137535950614102,12
conflicted,3,0.6666666666666666,official_score,0.6111111111111112,0.5222222222222223,0.6777777777777777,12
conflicted,3,0.6666666666666666,exact_match,0.6111111111111112,0.5222222222222223,0.6777777777777777,12
conflicted,3,1.0,likelihood,0.9966206552108444,0.990254680753907,0.9998763411579349,12
conflicted,3,1.0,official_score,0.9833333333333334,0.9583333333333334,1.0,12
conflicted,3,1.0,exact_match,0.9833333333333334,0.9583333333333334,1.0,12
conflicted,4,0.0,likelihood,0.014635238991608124,0.009934981991961715,0.019727242781185036,16
conflicted,4,0.0,official_score,0.0,0.0,0.0,16
conflicted,4,0.0,exact_match,0.0,0.0,0.0,16
conflicted,4,0.25,likelihood,0.271420628660232,0.22768897726682114,0.31547682644590874,16
conflicted,4,0.25,official_score,0.2390625,0.1703125,0.309375,16
conflicted,4,0.25,exact_match,0.2359375,0.17027343749999999,0.30625,16
conflicted,4,0.5,likelihood,0.6480191148007426,0.6091346379030451,0.6894655642290213,16
conflicted,4,0.5,official_score,0.6125,0.53125,0.690625,16
conflicted,4,0.5,exact_match,0.609375,0.528125,0.6875260416666665,16
conflicted,4,0.75,likelihood,0.9353411106617703,0.9211617025944063,0.948762776055461,16
conflicted,4,0.75,official_score,0.8624999999999999,0.8140234375,0.9125000000000001,16
conflicted,4,0.75,exact_match,0.8624999999999999,0.8140234375,0.9125000000000001,16
conflicted,4,1.0,likelihood,0.9996311327381072,0.9993728165472174,0.9998203358209355,16
conflicted,4,1.0,official_score,1.0,1.0,1.0,16
conflicted,4,1.0,exact_match,0.99375,0.98125,1.0,16
