sample,hops,r,metric,mean,low,high,questions
unconflicted,2,0.0,likelihood,0.02808621672127482,0.009164011687584562,0.051911497395974844,49
unconflicted,2,0.0,official_score,0.0,0.0,0.0,49
unconflicted,2,0.0,exact_match,0.0,0.0,0.0,49
unconflicted,2,0.5,likelihood,0.6580920144491169,0.6114408252829059,0.7023401010568441,49
unconflicted,2,0.5,official_score,0.4,0.3458928571428571,0.45306122448979597,49
unconflicted,2,0.5,exact_match,0.3989795918367347,0.3438775510204081,0.4530612244897959,49
unconflicted,2,1.0,likelihood,0.9979349820181307,0.9952744785153019,0.9994004216298688,49
unconflicted,2,1.0,official_score,0.9816326530612245,0.9510204081632652,1.0,49
unconflicted,2,1.0,exact_match,0.9795918367346939,0.9469387755102042,0.9979591836734694,49
unconflicted,3,0.0,likelihood,0.007776730224048266,0.00397928905970295,0.012741356503088051,7
unconflicted,3,0.0,official_score,0.0,0.0,0.0,7
unconflicted,3,0.0,exact_match,0.0,0.0,0.0,7
unconflicted,3,0.3333333333333333,likelihood,0.30312550184908404,0.24055236868801796,0.3653004152253419,7
unconflicted,3,0.3333333333333333,official_score,0.29047619047619044,0.20476190476190473,0.3333333333333333,7
unconflicted,3,0.3333333333333333,exact_match,0.29047619047619044,0.20476190476190473,0.3333333333333333,7
unconflicted,3,0.6666666666666666,likelihood,0.8120699981954754,0.7328973728921245,0.8819269834416451,7
unconflicted,3,0.6666666666666666,official_score,0.6380952380952382,0.5904761904761904,0.6666666666666666,7
unconflicted,3,0.6666666666666666,exact_match,0.6380952380952382,0.5904761904761904,0.6666666666666666,7
unconflicted,3,1.0,likelihood,0.9987807624195526,0.9971702132263107,0.9996592406327763,7
unconflicted,3,1.0,official_score,1.0,1.0,1.0,7
unconflicted,3,1.0,exact_match,1.0,1.0,1.0,7
unconflicted,4,0.0,likelihood,0.011477135112682887,0.006842082261941392,0.016856033270652066,8
unconflicted,4,0.0,official_score,0.0,0.0,0.0,8
unconflicted,4,0.0,exact_match,0.0,0.0,0.0,8
unconflicted,4,0.25,likelihood,0.2616728606367092,0.20072635648919415,0.32472845781991044,8
unconflicted,4,0.25,official_score,0.240625,0.209375,0.26882812499999964,8
unconflicted,4,0.25,exact_match,0.240625,0.209375,0.26882812499999964,8
unconflicted,4,0.5,likelihood,0.6635513230779541,0.5943118201406856,0.7317425804308341,8
unconflicted,4,0.5,official_score,0.4916666666666667,0.48125,0.5020833333333333,8
unconflicted,4,0.5,exact_match,0.48958333333333337,0.47916666666666663,0.5020833333333333,8
unconflicted,4,0.75,likelihood,0.9414972713652737,0.9210067083991051,0.9601612225914562,8
unconflicted,4,0.75,official_score,0.74375,0.73125,0.75,8
unconflicted,4,0.75,exact_match,0.74375,0.73125,0.75,8
unconflicted,4,1.0,likelihood,0.9996516723384734,0.9994662427699323,0.9998188065515797,8
unconflicted,4,1.0,official_score,1.0,1.0,1.0,8
unconflicted,4,1.0,exact_match,1.0,1.0,1.0,8
