question_id,gold_hop_count,committed_r,p,native_s
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.0,0.40747381151161594,-1.6354166720605765
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.3333333333333333,0.9383133452894602,4.281250010894534
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.6666666666666666,0.9462116432115024,3.3536932121814145
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1.0,0.9849862527463213,4.562499979394488
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0.0,0.509859550133919,-0.4652778532149063
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0.5,0.6995101464359708,1.57812499278225
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1.0,0.9981685878623109,6.645833477547664
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.0,0.3795012502107637,-1.4654762198802984
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.25,0.9988304897067265,6.749999975843821
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.75,0.9796676466944431,3.875000001862645
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,1.0,0.9986749776457927,6.625000047613867
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.0,0.40590335090199187,-1.5208332921740497
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.3333333333333333,0.571420836343788,0.4147727533497594
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.6666666666666666,0.16622243330915684,-2.0528846231217566
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,1.0,0.3326791221646046,-0.5902777911784748
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0.0,0.47743507667100155,-0.645833397594591
