schema_version,gold_definition,question_id,qa_pair_id,question_ordinal,decision_step,decision_state_count,normalized_progress,capture_id,action_tool_names,terminal_trajectory_status,gold_hop_count,covered_hop_count,gold_coverage_r,covered_hop_indices,missing_hop_indices,newly_available_hop_indices,cumulative_read_memory_count,cumulative_read_memory_ids,official_gold_lww_conflicted,final_official_score,final_correct
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,13,0.07692307692307693,1789220509353913484-2e88780389d24aceb5b5e8b75eae0d0a,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,13,0.15384615384615385,1789220517432349696-d46123e3c3e74a6c8ade6c0635f15656,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,13,0.23076923076923078,1789220534629893509-017a3b82928d4ce7a8d19633ab089857,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],"[1,2]",2,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,13,0.3076923076923077,1789220554473320398-f8467fb828494527af1fd675a7d3741a,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],2,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,13,0.38461538461538464,1789220565299379509-73421c9149944a63aa43aa4e90886842,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],3,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,6,13,0.46153846153846156,1789220570246802993-f7773fc13c7f451984cd78c7a40d4a17,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],3,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,7,13,0.5384615384615384,1789220585951324571-ab6b5d282f9249a8bf47459f8fe51162,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],6,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f"",""m-3d125b0f0545f62e1d4dad28"",""m-b7d3a9321839d30b4fca32c4"",""m-cbdf6a8153fd22ff0242fee9""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,8,13,0.6153846153846154,1789220614473546596-53b1889d64624b9fa37f6a5df30931d2,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],6,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f"",""m-3d125b0f0545f62e1d4dad28"",""m-b7d3a9321839d30b4fca32c4"",""m-cbdf6a8153fd22ff0242fee9""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,9,13,0.6923076923076923,1789220642710211549-93f4d4a6982a4c9dafec3234c5f6feb6,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],7,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f"",""m-3d125b0f0545f62e1d4dad28"",""m-b7d3a9321839d30b4fca32c4"",""m-cbdf6a8153fd22ff0242fee9"",""m-621e3928a351e7bbd9e11337""]",False,0.0,False
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,10,13,0.7692307692307693,1789220659360967099-843f1eb547d843328cfe875ef7bb28e8,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],7,"[""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-879a81ce4bb890141c60d24f"",""m-3d125b0f0545f62e1d4dad28"",""m-b7d3a9321839d30b4fca32c4"",""m-cbdf6a8153fd22ff0242fee9"",""m-621e3928a351e7bbd9e11337""]",False,0.0,False
