round,question_id,decision_step,trajectory_length,tau,r,margin,native_probability,positive_replicas,correct,conflicted,replica_margin_sd,run_question,native_positive,delta_r,delta_margin,evidence_gain,full_coverage
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,8,8,1.0,0.3333333333333333,6.749999854248017,0.9988304895646853,1.0,False,False,3.2927225399135965e-10,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,1.6249998351559043,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,6,6,1.0,1.0,5.125000232364982,0.9940889325091625,1.0,True,False,1.9756335239481576e-09,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,-2.4999999516585376,False,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,6,6,1.0,1.0,6.625000047613867,0.9986749776457928,1.0,False,True,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,1.0,6.187500047613867,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,14,14,1.0,1.0,-3.25,0.0373268873441294,0.0,False,True,1.580506819158526e-08,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,0.0,-0.18749999068677425,False,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,5,5,1.0,1.0,6.8749999985448085,0.9989677689617447,1.0,True,False,8.421137895829023e-08,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,0.5,2.8749998886487447,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,4,4,1.0,1.0,6.93749994126847,0.9990283588345962,1.0,True,False,0.08838817963715084,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,1.0,5.437499896564987,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,3,1.0,1.0,8.62499989765638,0.9998190683883617,1.0,True,False,0.1767763522772663,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,1.0,5.374999811974703,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,4,4,1.0,1.0,7.875000072934199,0.9996200155129514,1.0,True,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,1.0,4.687500011466909,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,8,8,1.0,0.75,6.124999770661816,0.9978172830551671,1.0,False,True,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,0.0,4.312499800464138,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,11,11,1.0,0.3333333333333333,-6.250000105355866,0.00192673446072575,0.0,False,True,2.634178031930877e-09,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,0.0,5.124999954440682,False,False
