tau,questions,r_mean,r_ci_low,r_ci_high,margin_mean,margin_ci_low,margin_ci_high
0.0,100,0.0,0.0,0.0,-4.4045833365592015,-4.516255204489968,-4.296041670305751
0.02,100,0.0,0.0,0.0,-4.4045833365592015,-4.514796877010949,-4.299994786558663
0.04,100,0.0,0.0,0.0,-4.403766669895888,-4.519236268578418,-4.296057917390935
0.06,100,0.0,0.0,0.0,-4.379233337023,-4.488371461502659,-4.270983335971219
0.08,100,0.0,0.0,0.0,-4.290133337638668,-4.415225217742656,-4.156999794458119
0.1,100,0.0,0.0,0.0,-4.113979171418968,-4.272828648955872,-3.9494552395119653
0.12,100,0.0008333333333333333,0.0,0.0025,-3.8925416711362657,-4.091049386927579,-3.6855318728935433
0.14,100,0.0025,0.0,0.006666666666666666,-3.6429666714656563,-3.891456677049104,-3.38158552639555
0.16,100,0.004166666666666667,0.0,0.01,-3.3837500045569406,-3.6656368765631466,-3.0820985434221115
0.18,100,0.005277777777777778,0.0008333333333333333,0.011666666666666665,-3.115070837671289,-3.4248556269753867,-2.7937871982545133
0.2,100,0.010833333333333335,0.0030555555555555553,0.021666666666666664,-2.874791670486561,-3.2147552126864176,-2.514619793054008
0.22,100,0.017777777777777778,0.007499999999999999,0.03027777777777778,-2.531191670115799,-2.8950152171214034,-2.147147394295474
0.24,100,0.028888888888888888,0.014722222222222223,0.044722222222222226,-2.214308336532895,-2.5885262538250875,-1.8301220939302754
0.26,100,0.035833333333333335,0.01888888888888889,0.05472222222222222,-1.872791669440597,-2.2484336532572518,-1.491416143790019
0.28,100,0.04666666666666666,0.026666666666666665,0.06805555555555555,-1.5106583357265775,-1.8902956268291538,-1.1371325011045665
0.3,100,0.0636111111111111,0.03916666666666666,0.09166666666666666,-1.180958336117395,-1.5609265615226586,-0.8167250037874763
0.32,100,0.06638888888888889,0.043055555555555555,0.09527777777777777,-0.9018750028013776,-1.273073759786902,-0.531477715246216
0.34,100,0.07527777777777776,0.05,0.10333333333333333,-0.6299250024900114,-1.0048277119811362,-0.2715547932141991
0.36,100,0.08083333333333334,0.05388888888888888,0.11055555555555556,-0.36212500253923674,-0.7345277142713252,-0.005558134493636066
0.38,100,0.09722222222222221,0.06805555555555555,0.1283333333333333,-0.09727083599188242,-0.4676650007188976,0.23918093289090844
0.4,100,0.10666666666666665,0.07555555555555556,0.13916666666666666,0.14999999694358387,-0.21519583096085282,0.49183541758797156
0.42,100,0.10999999999999999,0.07888888888888888,0.14389583333333325,0.3055916629867972,-0.03688489760083532,0.6320070816054746
0.44,100,0.12805555555555553,0.09333333333333334,0.16445138888888883,0.4466499966379458,0.11407520503304691,0.7672835363288903
0.46,100,0.1336111111111111,0.09833333333333334,0.16944444444444443,0.5876999974788789,0.23973729019423418,0.9043024982169491
0.48,100,0.13722222222222222,0.10249999999999998,0.17416666666666664,0.7393166650412136,0.39287895732790507,1.0663620841658492
0.5,100,0.16944444444444445,0.13055555555555556,0.21,0.8938541655805118,0.5311276072019645,1.2310859387154711
0.52,100,0.16944444444444445,0.12999999999999998,0.20999999999999996,0.9660583318230076,0.6185545821026653,1.2990537527129273
0.54,100,0.17027777777777778,0.1313888888888889,0.21111111111111108,1.0353374982200096,0.6729851012036769,1.3831252086891703
0.56,100,0.17722222222222225,0.13638888888888892,0.21861111111111112,1.1102083313619175,0.7364162453386303,1.4610464574085098
0.58,100,0.185,0.14555555555555555,0.22527777777777774,1.1974499977968593,0.8157827019208569,1.5497828101550808
0.6,100,0.2811111111111111,0.24333333333333332,0.32166666666666666,1.300624997701108,0.9111468676026481,1.679043746433764
0.62,100,0.2811111111111111,0.24305555555555558,0.3202777777777778,1.3783916647332506,0.99721219158364,1.7497493750631314
0.64,100,0.2880555555555555,0.2480486111111111,0.32888888888888884,1.4458583315203626,1.0534179163615742,1.8216179178788925
0.66,100,0.2880555555555555,0.2494444444444445,0.3269444444444444,1.5191374980076549,1.115763121065993,1.8954272885169408
0.68,100,0.325,0.28555555555555556,0.3663888888888889,1.59222499759308,1.1898754127272584,1.9657585366175188
0.7000000000000001,100,0.3261111111111111,0.28555555555555556,0.3669444444444444,1.6785208306191712,1.2767723965472122,2.0656510386571267
0.72,100,0.3441666666666666,0.30444444444444446,0.38639583333333327,1.7671166641695117,1.3677047931214672,2.149999998592198
0.74,100,0.345,0.3041597222222222,0.38694444444444437,1.8522041646938823,1.441465627281343,2.2415879124205533
0.76,100,0.35944444444444446,0.31582638888888886,0.40444444444444444,1.9641166648560635,1.5402574970820808,2.359981661456343
0.78,100,0.36611111111111105,0.3230555555555555,0.41416666666666657,2.116316664478903,1.6842804143350176,2.524258230540861
0.8,100,0.375,0.3311111111111111,0.4200069444444443,2.280416663631677,1.8481114505631004,2.688131251910502
0.8200000000000001,100,0.37666666666666665,0.33110416666666664,0.4225000000000001,2.513787496185085,2.0389198951578646,2.9520729119178455
0.84,100,0.38333333333333336,0.33861111111111114,0.43083333333333335,2.749674995178856,2.2791379072830864,3.1943410405475583
0.86,100,0.3902777777777778,0.3452777777777778,0.43749999999999994,2.9932583273840714,2.477043640038072,3.470760616052845
0.88,100,0.39194444444444443,0.3444374999999999,0.4391666666666667,3.2480166591570474,2.6924839560356433,3.7448422872677902
0.9,100,0.39194444444444443,0.34583333333333327,0.44,3.5171458240468847,2.949496342796843,4.034795305783485
0.92,100,0.3947222222222222,0.3472152777777777,0.4430555555555556,3.8169749890154154,3.214977281172193,4.377980408749541
0.9400000000000001,100,0.3980555555555555,0.3525000000000001,0.4455555555555554,4.129554153083278,3.53364425830259,4.716323428625365
0.96,100,0.3980555555555555,0.35194444444444445,0.4452847222222221,4.440874983771158,3.8303187363714035,5.02241727589161
0.98,100,0.3980555555555555,0.3513819444444444,0.4452777777777778,4.753304147908198,4.113616121981462,5.343572584834281
1.0,100,0.7625,0.7133333333333336,0.81,5.065833312052192,4.380406230093926,5.690005179153352
