question_id,r,margin,stop_rate,native_probability,rounds
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,-1.6354166720605765,0.5,0.40747637347027515,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.0,-0.4652778532149063,0.5555555555555555,0.509812414555313,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,0.0,-1.4654762198802984,0.38730158730158726,0.37957547113079904,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,0.0,-1.5208332921740497,0.4444444444444444,0.4059112376226554,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,0.0,-0.645833397594591,0.5,0.47737625466711936,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,0.0,0.10763888107612729,0.5555555555555555,0.5309432590887014,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,0.0,-0.22916660395761332,0.5,0.49410447459467854,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,0.0,0.11458326793379252,0.611111111111111,0.5834605401723999,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,0.0,-3.1874999275120595,0.0,0.11160538527603124,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,0.0,-5.81250000071264,0.0,0.008074544693229596,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,0.0,-1.1006944315352787,0.5555555555555555,0.44797730873910435,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,0.0,-1.2222222397362605,0.4444444444444444,0.4067815467933424,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,0.0,-1.4253472180830107,0.27777777777777773,0.32436355026942515,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,0.0,-1.2534721960158397,0.5555555555555555,0.4140563515972551,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,0.0,-0.7708333551418036,0.5,0.47840027355366915,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,0.0,-1.0416666998062283,0.5,0.4674136384932011,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,0.0,-1.6979166054322075,0.5,0.36543297249111156,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,0.0,0.15625003802900514,0.5,0.5052220722359672,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,0.0,-1.1324405068797725,0.2380952380952381,0.32811172621943396,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,0.0,-1.1562500814131151,0.5,0.4466661179480556,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,0.0,-2.2562499512763075,0.31111111111111106,0.23363814813207986,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,0.0,-0.5104166926660886,0.5,0.47181178386297556,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,0.0,-0.4999999558139179,0.611111111111111,0.5223986397673749,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,0.0,-0.7291667149402201,0.5,0.48107191198466226,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,0.0,-0.45486110997282814,0.5555555555555555,0.49976933979492905,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,0.0,-1.1145832752808928,0.5,0.435079571498395,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,0.0,-2.953703702824121,0.20833333333333334,0.22089381038285208,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,0.0,-2.1770832681407533,0.3333333333333333,0.2588994250937882,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,0.0,-5.227777797691265,0.0,0.021277909824062163,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,0.0,-0.8090278504209386,0.611111111111111,0.5072195682391433,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,0.0,-2.7916666393737413,0.0,0.12110533788359064,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,0.0,-0.6562500612861993,0.5555555555555555,0.5204466485092919,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,0.0,-0.34027777105155915,0.5,0.4869274563003431,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,0.0,-2.5298611127991335,0.19999999999999998,0.27461957798375997,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,0.0,-0.3350694380027966,0.4444444444444444,0.45429451454444775,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,0.0,-0.2951388478072153,0.5555555555555555,0.5246458543193157,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,0.0,-1.9895833275384376,0.16666666666666666,0.23280003148633235,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,0.0,-2.0833332842060677,0.5,0.31082568828458196,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,0.0,-2.3958333345750966,0.0,0.18341316780200692,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,0.0,-0.13020833421291575,0.6388888888888888,0.553434087274935,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,0.0,-1.6250000123400241,0.5,0.37513277882065704,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,0.0,1.510416679965412,0.6833333333333332,0.6365398922019334,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,0.0,-1.9791666421418388,0.3333333333333333,0.2989736533546768,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,0.0,-2.6093749750305304,0.2222222222222222,0.25083986460954494,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,0.0,-0.781249957314382,0.611111111111111,0.5095223634224612,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,0.0,-2.6041665894056982,0.16666666666666666,0.21798937542435715,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,0.0,-0.7881944184967627,0.611111111111111,0.49222785754768417,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,0.0,-1.118055556849059,0.38888888888888884,0.4140228539385309,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,0.0,0.4499999755983784,0.7833333333333333,0.579792660504473,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,0.0,-1.2708333471738216,0.6666666666666666,0.4323474173023552,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,0.0,-0.7083332717884332,0.6666666666666666,0.5405337360892716,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,0.0,-1.8437499810631077,0.3333333333333333,0.26929102872357397,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,0.0,-0.8124999624366561,0.5,0.4513453990855829,3
