round,question_id,decision_step,trajectory_length,tau,r,margin,native_probability,positive_replicas,correct,conflicted,replica_margin_sd,run_question,native_positive,delta_r,delta_margin,evidence_gain
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,8,0.125,0.0,-4.75000009033829,0.0085774846454831,0.0,False,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,,,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,8,0.25,0.0,1.6250000596046448,0.8354835452961425,1.0,False,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,6.3750001499429345,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,8,0.375,0.3333333333333333,4.250000008381903,0.9859363730729768,1.0,False,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.3333333333333333,2.6249999487772584,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,4,8,0.5,0.3333333333333333,2.312499973922968,0.9097757432357167,1.0,False,False,0.0883882370128411,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,-1.9375000344589353,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,5,8,0.625,0.3333333333333333,1.0625000447034836,0.742986791365297,1.0,False,False,0.08838832657489419,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,-1.2499999292194843,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,6,8,0.75,0.3333333333333333,6.187500165018719,0.9979452747797661,1.0,False,False,0.08838839498120496,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,5.125000120315235,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,7,8,0.875,0.3333333333333333,5.125000019092113,0.994088931255944,1.0,False,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,-1.062500145926606,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,8,8,1.0,0.3333333333333333,6.749999854248017,0.9988304895646853,1.0,False,False,3.2927225399135965e-10,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,1.6249998351559043,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,6,0.1666666666666666,0.0,-3.750000052154064,0.0229773687391976,0.0,True,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,False,,,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,6,0.3333333333333333,0.0,2.1874999701976776,0.8989799679732196,1.0,True,False,0.08838831603818206,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,5.937500022351742,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,6,0.5,0.5,0.125,0.5312093733737563,1.0,True,False,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.5,-2.0624999701976776,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,4,6,0.6666666666666666,0.5,3.875000041909516,0.9796676474921346,1.0,True,False,1.975633539649082e-08,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,3.750000041909516,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,5,6,0.8333333333333334,1.0,7.62500018402352,0.9995083322295234,1.0,True,False,0.1767767366614638,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.5,3.750000142114004,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,6,6,1.0,1.0,5.125000232364982,0.9940889325091625,1.0,True,False,1.9756335239481576e-09,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,-2.4999999516585376,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,1,6,0.1666666666666666,0.0,-5.375000173225999,0.0046095713845572,0.0,False,True,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,,,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,2,6,0.3333333333333333,0.0,-3.000000096857548,0.0474258688018665,0.0,False,True,0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,0.0,2.3750000763684507,False
