question_id,run_question,run,progress,sufficiency_likelihood,evidence_coverage
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.15,0.008577484645483139,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.2,0.008577484645483139,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.25,0.8354835452961425,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.3,0.8354835452961425,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.35,0.8354835452961425,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.4,0.9859363730729767,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.45,0.9859363730729767,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.5,0.9099070039003511,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.55,0.9099070039003511,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.6,0.9099070039003511,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.65,0.7431680171450046,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.7,0.7431680171450046,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.75,0.9979492567977998,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.8,0.9979492567977998,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,0.85,0.9979492567977998,0.3333333333333333
