question_id,progress,sufficiency_likelihood,evidence_coverage
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.1,0.009708476571013487,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.15,0.009142980608248313,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.2,0.2492326811182524,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.25,0.611656017628169,0.2222222222222222
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3,0.611656017628169,0.2222222222222222
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.35,0.8780110050670298,0.2222222222222222
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.4,0.9291861812927111,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.45,0.9291861812927111,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.5,0.9128992282043137,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.55,0.9590855982614629,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6,0.9590855982614629,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.65,0.8896428241580598,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.7,0.8665572326936916,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.75,0.9514843125779566,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.8,0.9514843141472791,0.5555555555555555
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.85,0.9588808098665716,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.9,0.957594034685953,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.95,0.9668616284928196,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,0.9945911357471701,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.2,0.020481787426032592,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.25,0.02131364786375428,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.3,0.02131364786375428,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.35,0.31336164980629155,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.4,0.6070733734126863,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.45,0.6070733734126863,0.0
