metric,progress,mean,ci_low,ci_high,questions,trajectories
sufficiency_likelihood,0.05,0.01188078810908456,0.0029810328381539484,0.02033235445571678,4,6
sufficiency_likelihood,0.1,0.029108216120987313,0.011747257959804375,0.057664573872857554,37,64
sufficiency_likelihood,0.15,0.11210866191602858,0.06233503549730093,0.1657244022635255,58,123
sufficiency_likelihood,0.2,0.1293207261286252,0.09255494039481887,0.1695831614471938,93,222
sufficiency_likelihood,0.25,0.19588077645697716,0.14606989733816725,0.24603844311695233,95,264
sufficiency_likelihood,0.3,0.2611324668254887,0.20579745849478107,0.31630354720882753,95,264
sufficiency_likelihood,0.35,0.3026613270555874,0.24982403174611925,0.3537570697307015,100,300
sufficiency_likelihood,0.4,0.4671941644815953,0.41860358372269907,0.5170551489544346,100,300
sufficiency_likelihood,0.45,0.47123107864208874,0.4219820887290566,0.5203022230641203,100,300
sufficiency_likelihood,0.5,0.5876782897295256,0.533508570350874,0.6424523050721868,100,300
sufficiency_likelihood,0.55,0.585670320384124,0.5308286796824853,0.6405986525746881,100,300
sufficiency_likelihood,0.6,0.5940064972324005,0.5346322247206619,0.6533106821722754,100,300
sufficiency_likelihood,0.65,0.605284825855935,0.5453784377832309,0.6641727116124932,100,300
sufficiency_likelihood,0.7,0.7210972007267236,0.6700889453670982,0.7709622838094036,100,300
sufficiency_likelihood,0.75,0.7314863824266294,0.6812147604241213,0.7800570124604039,100,300
sufficiency_likelihood,0.8,0.74785177640879,0.6951549572058721,0.7977875706872762,100,300
sufficiency_likelihood,0.85,0.7740833192401162,0.7224746347726881,0.8224116153597392,100,300
sufficiency_likelihood,0.9,0.7884217057571622,0.7353064115233194,0.8387277695695593,100,300
sufficiency_likelihood,0.95,0.7908272385786931,0.7378967482177422,0.8405384152903489,100,300
sufficiency_likelihood,1.0,0.8684125720240305,0.8143585056436388,0.9188428336935203,100,300
evidence_coverage,0.05,0.0,0.0,0.0,4,6
evidence_coverage,0.1,0.0,0.0,0.0,37,64
evidence_coverage,0.15,0.00646551724137931,0.0,0.017241379310344827,58,123
evidence_coverage,0.2,0.011648745519713264,0.0033950617283950613,0.023550724637681163,93,222
evidence_coverage,0.25,0.03771929824561404,0.019883040935672513,0.057669082125603864,95,264
evidence_coverage,0.3,0.06959064327485379,0.04300734377434939,0.10051546391752578,95,264
evidence_coverage,0.35,0.07527777777777776,0.05027777777777777,0.10444444444444445,100,300
evidence_coverage,0.4,0.10666666666666667,0.07694444444444444,0.1405555555555556,100,300
evidence_coverage,0.45,0.13166666666666665,0.0975,0.16944444444444443,100,300
evidence_coverage,0.5,0.16944444444444443,0.12971527777777775,0.2113888888888889,100,300
evidence_coverage,0.55,0.1711111111111111,0.13083333333333333,0.21333333333333332,100,300
evidence_coverage,0.6,0.2811111111111111,0.24305555555555552,0.32056249999999975,100,300
evidence_coverage,0.65,0.28805555555555556,0.24915972222222219,0.32833333333333337,100,300
evidence_coverage,0.7,0.326111111111111,0.28583333333333333,0.36749999999999994,100,300
evidence_coverage,0.75,0.35944444444444446,0.3155555555555556,0.403611111111111,100,300
evidence_coverage,0.8,0.37499999999999994,0.33083333333333337,0.4202777777777778,100,300
evidence_coverage,0.85,0.3858333333333332,0.34000000000000014,0.4316666666666667,100,300
evidence_coverage,0.9,0.3919444444444444,0.3452777777777778,0.4391666666666666,100,300
evidence_coverage,0.95,0.39805555555555544,0.35082638888888884,0.445,100,300
evidence_coverage,1.0,0.7624999999999998,0.7130555555555554,0.8108333333333333,100,300
