schema_version,gold_definition,question_id,qa_pair_id,question_ordinal,decision_step,decision_state_count,normalized_progress,capture_id,action_tool_names,terminal_trajectory_status,gold_hop_count,covered_hop_count,gold_coverage_r,covered_hop_indices,missing_hop_indices,newly_available_hop_indices,cumulative_read_memory_count,cumulative_read_memory_ids,official_gold_lww_conflicted,final_official_score,final_correct,replica,j_sample_count,j_sufficient_count,j_insufficient_count,j_sufficient_fraction,native_sufficient_likelihood,native_sufficient_logprob,native_insufficient_logprob,native_logit_margin,native_margin_decision
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,8,0.125,1789210344135085336-7832225cbaa64af189eee6d0104801a7,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False,qwen-r1,101,94,7,0.9306930693069307,0.008577484645483137,-4.758800029754639,-0.008799939416348934,-4.75000009033829,insufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,8,0.125,1789210344135085336-7832225cbaa64af189eee6d0104801a7,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False,qwen-r2,101,91,10,0.900990099009901,0.008577484645483137,-4.758800029754639,-0.008799939416348934,-4.75000009033829,insufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,8,0.25,1789210356541979703-080e004dc0644f13912405f8ef1c1824,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False,qwen-r1,101,101,0,1.0,0.8354835452961425,-0.17981356382369995,-1.8048136234283447,1.6250000596046448,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,8,0.25,1789210356541979703-080e004dc0644f13912405f8ef1c1824,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,0.0,False,qwen-r2,101,101,0,1.0,0.8354835452961425,-0.17981356382369995,-1.8048136234283447,1.6250000596046448,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,8,0.375,1789210360775484287-57c4e8c64bb24e80b8670547ee19efc8,"[""search""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[1],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r1,101,101,0,1.0,0.9859363730729767,-0.014202586375176907,-4.26420259475708,4.250000008381903,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,8,0.375,1789210360775484287-57c4e8c64bb24e80b8670547ee19efc8,"[""search""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[1],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r2,101,101,0,1.0,0.9859363730729767,-0.014202586375176907,-4.26420259475708,4.250000008381903,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,8,0.5,1789210366530014254-4c680ec84629405098cdb300a7cc4956,"[""search""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r1,101,92,9,0.9108910891089109,0.9046505395995929,-0.10039658099412918,-2.3503966331481934,2.250000052154064,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,8,0.5,1789210366530014254-4c680ec84629405098cdb300a7cc4956,"[""search""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r2,101,96,5,0.9504950495049505,0.9149009468718409,-0.08911143243312836,-2.464111328125,2.3749998956918716,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,8,0.625,1789210370783490259-65af45911db8433b872f32733f7cc3c9,"[""read""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r1,101,101,0,1.0,0.7310585903489892,-0.31359928846359253,-1.3135993480682373,1.0000000596046448,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,8,0.625,1789210370783490259-65af45911db8433b872f32733f7cc3c9,"[""read""]",sufficient,3,1,0.3333333333333333,[1],"[2,3]",[],1,"[""m-d378741b166342a8e5a0aca8""]",False,0.0,False,qwen-r2,101,100,1,0.9900990099009901,0.7549149923816048,-0.28148671984672546,-1.4064867496490479,1.1250000298023224,sufficient
