gold_hops,analysis,metric,estimate,ci_low,ci_high,question_weighted_positive_pair_probability,positive_probability_ci_low,positive_probability_ci_high,questions,pairs
2,Any missing support added,Native sufficiency margin,6.6036352002827705,6.276450892794469,6.91266739703847,0.9897959183673469,0.9770408163265306,1.0,49,392
2,Any missing support added,Sufficiency likelihood,0.484924382648428,0.47230795055742414,0.49442846387282835,0.9897959183673469,0.9770408163265306,1.0,49,392
2,Any missing support added,Answer accuracy,0.49081632653061225,0.4744897959183674,0.5,0.576530612244898,0.548469387755102,0.6071428571428571,49,392
2,Any missing support added,Strict exact match,0.4897959183673469,0.47448979591836726,0.4989795918367347,0.5739795918367347,0.5459183673469388,0.6045918367346939,49,392
2,Any missing support added,Input tokens,0.29591836734693877,-0.19387755102040816,0.7857142857142857,0.46938775510204084,0.35714285714285715,0.5816326530612245,49,392
2,Completing support added,Native sufficiency margin,6.989477036984579,6.552598840493496,7.4027423464427775,1.0,1.0,1.0,49,196
2,Completing support added,Sufficiency likelihood,0.3398429675690139,0.2944113937660412,0.3869664242922363,1.0,1.0,1.0,49,196
2,Completing support added,Answer accuracy,0.5816326530612245,0.5316326530612245,0.6346938775510205,0.6887755102040817,0.6224489795918368,0.7551020408163265,49,196
2,Completing support added,Strict exact match,0.5806122448979592,0.5316326530612245,0.6316326530612245,0.6887755102040817,0.6224489795918368,0.7551020408163265,49,196
2,Completing support added,Input tokens,0.29591836734693877,-0.1836734693877551,0.7653061224489796,0.46938775510204084,0.35714285714285715,0.5816326530612245,49,196
3,Any missing support added,Native sufficiency margin,4.097842268666887,3.68154760867219,4.442336325112451,0.9642857142857143,0.9404761904761905,0.9880952380952381,7,168
3,Any missing support added,Sufficiency likelihood,0.37498713213547397,0.365920850461999,0.38521909038478885,0.9642857142857143,0.9404761904761905,0.9880952380952381,7,168
3,Any missing support added,Answer accuracy,0.33690476190476193,0.32976190476190476,0.3476190476190476,0.36904761904761907,0.3333333333333333,0.42857142857142855,7,168
3,Any missing support added,Strict exact match,0.33690476190476193,0.32976190476190476,0.3476190476190476,0.36904761904761907,0.3333333333333333,0.42857142857142855,7,168
3,Any missing support added,Input tokens,-0.42857142857142855,-1.380952380952381,0.5714285714285714,0.38095238095238093,0.23809523809523808,0.5238095238095238,7,168
3,Completing support added,Native sufficiency margin,5.79613094456861,5.218749972404026,6.324404622531083,1.0,1.0,1.0,7,42
3,Completing support added,Sufficiency likelihood,0.18671076422407734,0.11845656799010504,0.26147759069438137,1.0,1.0,1.0,7,42
3,Completing support added,Answer accuracy,0.36190476190476195,0.3333333333333333,0.4095238095238095,0.40476190476190477,0.3333333333333333,0.5,7,42
3,Completing support added,Strict exact match,0.36190476190476195,0.3333333333333333,0.4095238095238095,0.40476190476190477,0.3333333333333333,0.5,7,42
3,Completing support added,Input tokens,-0.42857142857142855,-1.380952380952381,0.5714285714285714,0.38095238095238093,0.23809523809523808,0.5238095238095238,7,42
4,Any missing support added,Native sufficiency margin,3.089111331318529,2.891595458352934,3.3017578231757074,0.97265625,0.9609375,0.986328125,8,512
4,Any missing support added,Sufficiency likelihood,0.293477919835365,0.28082293083686954,0.3056685629672512,0.97265625,0.9609375,0.986328125,8,512
4,Any missing support added,Answer accuracy,0.25078125,0.2421875,0.259375,0.3125,0.27734375,0.3515625,8,512
4,Any missing support added,Strict exact match,0.25078125,0.24296874999999998,0.259375,0.3125,0.27734375,0.3515625,8,512
4,Any missing support added,Input tokens,-1.1875,-1.625,-0.875,0.09375,0.0,0.1875,8,512
4,Completing support added,Native sufficiency margin,5.636718769085363,4.958007812928486,6.325195286885901,1.0,1.0,1.0,8,64
4,Completing support added,Sufficiency likelihood,0.05815440097319956,0.03890788635239779,0.07880798309153413,1.0,1.0,1.0,8,64
4,Completing support added,Answer accuracy,0.25625,0.25,0.26875000000000004,0.28125,0.25,0.34375,8,64
4,Completing support added,Strict exact match,0.25625,0.25,0.26875000000000004,0.28125,0.25,0.34375,8,64
4,Completing support added,Input tokens,-1.1875,-1.625,-0.875,0.09375,0.03125,0.1875,8,64
