outcome,metric,progress,mean,ci_low,ci_high,questions,trajectories
correct,sufficiency_likelihood,0.0,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.045454545455,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.047619047619,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.05,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.052631578947,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.066666666667,0.014608657675660613,0.012541443162864993,0.016814032198634747,55,123
correct,sufficiency_likelihood,0.071428571429,0.01894866671294313,0.012979776357236898,0.029568163846781133,55,123
correct,sufficiency_likelihood,0.076923076923,0.01894866671294313,0.012979776357236898,0.029568163846781133,55,123
correct,sufficiency_likelihood,0.083333333333,0.0227206528196099,0.01380623851691665,0.03560882627320755,55,123
correct,sufficiency_likelihood,0.090909090909,0.026632312395215917,0.015393856779218864,0.040814512299173746,55,123
correct,sufficiency_likelihood,0.095238095238,0.026632312395215917,0.015393856779218864,0.040814512299173746,55,123
correct,sufficiency_likelihood,0.1,0.03758410181453195,0.018285368413978167,0.06320515264361926,55,123
correct,sufficiency_likelihood,0.105263157895,0.03758410181453195,0.018285368413978167,0.06320515264361926,55,123
correct,sufficiency_likelihood,0.111111111111,0.04031615772308875,0.020249573320117942,0.06524020328505954,55,123
correct,sufficiency_likelihood,0.125,0.04539514988137618,0.023233245196195747,0.07351986450537239,55,123
correct,sufficiency_likelihood,0.133333333333,0.04539514988137618,0.023233245196195747,0.07351986450537239,55,123
correct,sufficiency_likelihood,0.136363636364,0.04539514988137618,0.023233245196195747,0.07351986450537239,55,123
correct,sufficiency_likelihood,0.142857142857,0.07976769861314184,0.039013719897916195,0.13000380117540977,55,123
correct,sufficiency_likelihood,0.15,0.07976769861314184,0.039013719897916195,0.13000380117540977,55,123
correct,sufficiency_likelihood,0.153846153846,0.07976769861314184,0.039013719897916195,0.13000380117540977,55,123
correct,sufficiency_likelihood,0.157894736842,0.07976769861314184,0.039013719897916195,0.13000380117540977,55,123
correct,sufficiency_likelihood,0.166666666667,0.13662371365723086,0.07595003019219135,0.20475865984114985,55,123
correct,sufficiency_likelihood,0.181818181818,0.14018178936870287,0.07753329121933772,0.2107667155777766,55,123
correct,sufficiency_likelihood,0.190476190476,0.14018178936870287,0.07753329121933772,0.2107667155777766,55,123
correct,sufficiency_likelihood,0.2,0.24315170351066864,0.16768240644565582,0.3252860879695743,55,123
correct,sufficiency_likelihood,0.210526315789,0.24315170351066864,0.16768240644565582,0.3252860879695743,55,123
correct,sufficiency_likelihood,0.214285714286,0.24419390461653484,0.16827061338228783,0.3263239504002876,55,123
correct,sufficiency_likelihood,0.222222222222,0.24678502728163057,0.17025319822954516,0.32979090543837253,55,123
correct,sufficiency_likelihood,0.227272727273,0.24678502728163057,0.17025319822954516,0.32979090543837253,55,123
correct,sufficiency_likelihood,0.230769230769,0.24678502728163057,0.17025319822954516,0.32979090543837253,55,123
correct,sufficiency_likelihood,0.238095238095,0.24678502728163057,0.17025319822954516,0.32979090543837253,55,123
correct,sufficiency_likelihood,0.25,0.53803413057193,0.45095218982840524,0.6209205198266129,55,123
correct,sufficiency_likelihood,0.263157894737,0.53803413057193,0.45095218982840524,0.6209205198266129,55,123
correct,sufficiency_likelihood,0.266666666667,0.53803413057193,0.45095218982840524,0.6209205198266129,55,123
