outcome,question_id,run_question,run,progress,source_decision_step,source_aligned_progress,sufficiency_likelihood,evidence_coverage
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.0,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.045454545455,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.047619047619,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.05,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.052631578947,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.066666666667,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.071428571429,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.076923076923,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.083333333333,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.090909090909,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.095238095238,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.1,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.105263157895,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.111111111111,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.125,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.133333333333,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.136363636364,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.142857142857,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.15,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.153846153846,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.157894736842,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.166666666667,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.181818181818,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.190476190476,1,0.0,0.022977368739197652,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.2,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.210526315789,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.214285714286,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.222222222222,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.227272727273,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.230769230769,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.238095238095,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.25,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.263157894737,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.266666666667,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.272727272727,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.285714285714,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.3,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.307692307692,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.315789473684,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.318181818182,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.333333333333,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.35,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.357142857143,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.363636363636,2,0.2,0.8991213745668095,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,0.368421052632,2,0.2,0.8991213745668095,0.0
