outcome,question_id,progress,sufficiency_likelihood,evidence_coverage
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.045454545455,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.047619047619,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.05,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.052631578947,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.066666666667,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.071428571429,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.076923076923,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.083333333333,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.090909090909,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.095238095238,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.1,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.105263157895,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.111111111111,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.125,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.133333333333,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.136363636364,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.142857142857,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.15,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.153846153846,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.157894736842,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.166666666667,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.181818181818,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.190476190476,0.00806199179825377,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.2,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.210526315789,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.214285714286,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.222222222222,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.227272727273,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.230769230769,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.238095238095,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.25,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.263157894737,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.266666666667,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.272727272727,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.285714285714,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.307692307692,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.315789473684,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.318181818182,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.333333333333,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.35,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.357142857143,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.363636363636,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.368421052632,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.375,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.380952380952,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.384615384615,0.8519528038477825,0.0
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.4,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.409090909091,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.416666666667,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.421052631579,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.428571428571,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.444444444444,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.45,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.454545454545,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.461538461538,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.466666666667,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.473684210526,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.47619047619,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.5,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.52380952381,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.526315789474,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.533333333333,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.538461538462,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.545454545455,0.9933071497536828,0.6666666666666666
correct,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.55,0.9933071497536828,0.6666666666666666
